"ORGANIZATION","TANK_INFO","TANK_NAME","TANK_ADDRESS","CITY","STATE","ZIP","TASK_TYPE","TASK_STATUS","Address"
"CITY OF MARION, IL","500,000 PEDESTAL","INDUSTRIAL PARK TANK","1520 SKYLINE DRIVE","MARION","IL","62959","WARR","In Planning","1520 SKYLINE DRIVE, MARION, IL 62959"
"CHANUTE AFB, IL","500,000 ELEVATED","WT120","CHANUTE AFB","RANTOUL","IL","61866","BWDEMO","Assigned","CHANUTE AFB, RANTOUL, IL 61866"
"CITY OF PINCKNEYVILLE, IL","300,000 ELEVATED","MASON STREET TANK","513 MASON ST","PINCKNEYVILLE","IL","62274","Repair","In Planning","513 MASON ST, PINCKNEYVILLE, IL 62274"
"CITY OF STEELEVILLE, IL","250,000 PEDISPHERE","SUGAR PLANT TANK","N CHERRY ST","STEELEVILLE","IL","62288","URMS","Assigned","N CHERRY ST, STEELEVILLE, IL 62288"
"CITY OF STEELEVILLE, IL","250,000 ELEVATED","DR WALTAMATE TANK","WILLIAMS ST","STEELEVILLE","IL","62288","URMS","Assigned","WILLIAMS ST, STEELEVILLE, IL 62288"
"CITY OF DES PLAINES, IL","1,000,000 ELEVATED","HOWARD AVENUE TANK","HOWARD AVENUE AND MANHEIM ROAD","DES PLAINES","IL","60016","Repair","In Planning","HOWARD AVENUE AND MANHEIM ROAD, DES PLAINES, IL 60016"
"HAMILTON COUNTY WATER DISTRICT, IL","50,000 ELEVATED","TANK #1","600 E 1325 N","MCLEANSBORO","IL","62859","MPTUE","Assigned","600 E 1325 N, MCLEANSBORO, IL 62859"
"VILLAGE OF CUTLER, IL","50,000 ELEVATED","WELL NUMBER 5","464 STATE ROUTE 150","CUTLER","IL","62238","WARR","Assigned","464 STATE ROUTE 150, CUTLER, IL 62238"
"ILLINOIS AMERICAN WATER COMPANY, IL","5,000,000 GROUND","GRAND BLVD #1","3960 NORTH GRAND BOULEVARD","PEORIA","IL","61603","CSWOUT","In Planning","3960 NORTH GRAND BOULEVARD, PEORIA, IL 61603"
"CITY OF DES PLAINES, IL","1,000,000 ELEVATED","HOWARD AVENUE TANK","HOWARD AVENUE AND MANHEIM ROAD","DES PLAINES","IL","60016","MPWOUT","In Planning","HOWARD AVENUE AND MANHEIM ROAD, DES PLAINES, IL 60016"
"CITY OF GALVA, IL","-","-","311 NORTHWEST 4TH AVE","GALVA","IL","61434","MPWOUT","In Planning","311 NORTHWEST 4TH AVE, GALVA, IL 61434"
"VILLAGE OF STILLMAN VALLEY, IL","200,000 PEDISPHERE","SPRUCE STREET TANK","SPRUCE STREET & ROUTE 72","STILLMAN VALLEY","IL","61084","MPWOUT","In Planning","SPRUCE STREET & ROUTE 72, STILLMAN VALLEY, IL 61084"
